kapb1_alexa_10nM_mix_alexa647_nhs_1nM_2.ptu	 	 
Correlation time[ms]	G(t)[10{^-3}]	±Err [10{^-3}]
0.0001375	254.3083273	4.315883076
0.0001625	247.697973	5.166262528
0.000187501	238.4317815	3.581529153
0.000212501	242.8434507	4.577044229
0.000237501	235.0479499	5.285816695
0.000275001	229.8634556	2.870707762
0.000325001	232.153255	3.629444714
0.000375001	233.8432144	2.500932846
0.000425001	239.153923	4.473842639
0.000475001	232.0141738	3.776285063
0.000525002	230.4520708	3.961428026
0.000575002	229.15859	5.150421772
0.000625002	225.1536943	3.616737123
0.000675002	227.2029449	3.608265751
0.000725002	225.7040639	3.832996407
0.000800002	224.0455167	2.134111492
0.000900003	223.1841331	2.921237615
0.001000003	220.1278468	1.571351314
0.001100003	223.4292644	2.403302644
0.001200004	217.7249797	4.115145918
0.001300004	213.3927778	3.461482075
0.001400004	210.5156949	2.073040496
0.001500005	213.6226569	2.753051971
0.001600005	209.9344301	2.79856433
0.001700005	209.0269214	2.228642222
0.001850006	205.9465949	2.101292725
0.002050006	203.0401203	1.257579475
0.002250007	200.0300231	2.093118452
0.002450007	195.5883593	1.598323395
0.002650008	196.8508624	2.199885606
0.002850009	195.0189719	1.958265286
0.003050009	193.3081322	2.098875811
0.00325001	193.0308093	2.30359467
0.00345001	195.4588297	2.025860852
0.003650011	188.1086577	1.888295208
0.003950012	186.6844906	1.268157271
0.004350013	184.5690726	1.229332124
0.004750014	182.4084638	1.172047166
0.005150015	180.250612	1.587702739
0.005550017	179.0289539	1.268327621
0.005950018	177.5076418	1.185371411
0.006350019	176.9776389	1.806585479
0.00675002	173.910166	0.870388915
0.007150021	172.2866562	1.257610421
0.007550023	170.2813029	0.857380797
0.008150024	168.4771668	0.751587642
0.008950027	166.9380729	1.576394951
0.009750029	164.2974198	0.626326492
0.010550032	160.450289	0.764494053
0.011350034	160.281398	0.971820533
0.012150036	158.9409538	0.960221276
0.012950039	156.4481493	0.773227966
0.013750041	154.7659672	0.827138924
0.014550044	153.7475943	0.783154123
0.015350046	151.9511439	1.031310408
0.01655005	149.4366893	0.695227175
0.018150054	148.1604919	0.566959164
0.019750059	145.6117412	0.52652526
0.021350064	143.4232362	0.454735024
0.022950069	141.5781396	0.305597437
0.024550074	140.9315461	0.546421966
0.026150078	139.9413413	0.729841977
0.027750083	138.3117967	0.27666644
0.029350088	137.2372602	0.468828173
0.030950093	134.8525811	0.717630514
0.0333501	135.2720264	0.322129966
0.03655011	131.8496536	0.463508224
0.039750119	130.6596846	0.406128528
0.042950129	128.4645518	0.600179014
0.046150138	126.6831558	0.565934239
0.049350148	126.0620328	0.488236439
0.052550158	124.2616287	0.362635898
0.055750167	122.7707506	0.564485782
0.058950177	121.3197445	0.570215666
0.062150186	119.3442161	0.610358809
0.066950201	118.4639788	0.483052679
0.07335022	116.4790636	0.545528444
0.079750239	114.0479432	0.64720221
0.086150258	112.5494214	0.669851378
0.092550278	110.7576685	0.713234341
0.098950297	108.7289894	0.667754387
0.105350316	107.6291573	0.66500485
0.111750335	105.9905871	0.739772335
0.118150354	104.0480162	0.6727587
0.124550374	102.6236124	0.769699662
0.134150402	100.4987285	0.86594235
0.146950441	97.89379017	0.739497265
0.159750479	96.04410987	0.78601445
0.172550518	93.43440106	0.940591803
0.185350556	91.68763076	0.929336395
0.198150594	89.75229808	0.856510095
0.210950633	87.77052789	0.846701661
0.223750671	85.88573457	0.914394298
0.23655071	84.30835057	0.746129583
0.249350748	82.88379372	0.921527851
0.268550806	80.43257018	0.86491142
0.294150882	77.79117904	0.828336575
0.319750959	75.15560715	0.916705829
0.345351036	72.54990058	0.826664716
0.370951113	70.59385577	0.777891377
0.39655119	68.34182663	0.892629792
0.422151266	66.7317516	0.915295077
0.447751343	65.01188135	0.836967845
0.47335142	63.39354507	0.831213566
0.498951497	61.55961163	0.861263054
0.537351612	59.59435109	0.87920456
0.588551766	56.48673751	0.846873268
0.639751919	53.59965979	0.849625495
0.690952073	51.51013404	0.822632609
0.742152226	49.69792021	0.841079449
0.79335238	47.57780349	0.806086447
0.844552534	45.69492736	0.807358227
0.895752687	43.96912367	0.860590215
0.946952841	42.31917154	0.778292917
0.998152994	41.09125904	0.820779301
1.074953225	38.96279869	0.808675408
1.177353532	36.50812023	0.766853298
1.279753839	34.38790151	0.669244887
1.382154146	32.26937532	0.674859253
1.484554454	30.68881991	0.652960495
1.586954761	29.26627323	0.677702454
1.689355068	27.88540268	0.689045367
1.791755375	26.29286091	0.757175447
1.894155682	25.02576371	0.688314178
1.99655599	24.01999931	0.721466513
2.15015645	22.76413258	0.714020291
